Id,Label,indegree,outdegree,Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,modularity_class,stat_inf_class,eigencentrality
RJstudiomusikcondet,RJstudiomusikcondet,1,1,2,1,1,1,0,131,276,0.008771
rizkyputraarief2861,rizkyputraarief2861,0,1,1,1,1,1,0,131,276,0
victory2908,victory2908,0,1,1,1,1,1,0,131,276,0
FaizIswanto,FaizIswanto,0,1,1,1,1,1,0,131,276,0
gizbluez,gizbluez,0,1,1,1,1,1,0,131,276,0
compunkcampinkk,compunkcampinkk,0,1,1,1,1,1,0,131,276,0
hadizulfikri3696,hadizulfikri3696,0,1,1,1,1,1,0,131,276,0
BangKibao,BangKibao,0,1,1,1,1,1,0,131,276,0
edwardsorongbarat5380,edwardsorongbarat5380,0,2,2,2,0.75,0.833333,0,131,276,0
may_storie8461,may_storie8461,0,1,1,1,1,1,0,131,276,0
Biden_Fisabilillah,Biden_Fisabilillah,0,1,1,1,1,1,0,131,276,0
irmalestarimashudi4585,irmalestarimashudi4585,0,2,2,1,1,1,0,131,276,0
sultankimjongun6230ehhhh,sultankimjongun6230ehhhh,1,0,1,0,0,0,0,131,276,0.002837
immegustaa661,immegustaa661,0,1,1,1,1,1,0,131,276,0
AbdulHalim-re6ln,AbdulHalim-re6ln,0,1,1,1,1,1,0,131,276,0
adena774,adena774,1,1,2,1,1,1,0,131,276,0.008771
paulo-v1u5r,paulo-v1u5r,0,4,4,1,1,1,0,226,276,0
sultankimjongun6230nah,sultankimjongun6230nah,1,0,1,0,0,0,0,226,276,0.002837
truepoint8161,truepoint8161,0,2,2,1,1,1,0,131,276,0
BangkitKrisbiantorobodo,BangkitKrisbiantorobodo,1,0,1,0,0,0,0,131,276,0.002837
utomo2451,utomo2451,0,1,1,1,1,1,0,131,276,0
LoveYourself-w,LoveYourself-w,0,1,1,1,1,1,0,131,276,0
chachalova09,chachalova09,0,2,2,1,1,1,0,131,276,0
sultankimjongun6230HAHAHAHA,sultankimjongun6230HAHAHAHA,1,0,1,0,0,0,0,131,276,0.002837
putrabayu56,putrabayu56,0,2,2,1,1,1,0,131,276,0
sultankimjongun6230blog,sultankimjongun6230blog,1,0,1,0,0,0,0,131,276,0.002837
perkan-q6y,perkan-q6y,0,1,1,1,1,1,0,131,276,0
fikhidayat1690,fikhidayat1690,0,3,3,1,1,1,0,131,276,0
sultankimjongun6230ini,sultankimjongun6230ini,4,0,4,0,0,0,0,131,276,0.011348
yow-g7o,yow-g7o,0,1,1,1,1,1,0,131,276,0
lethalova557,lethalova557,0,2,2,3,0.529412,0.592593,0,131,276,0
PockPix,PockPix,0,1,1,1,1,1,0,131,276,0
Firman-o5z,Firman-o5z,0,2,2,1,1,1,0,131,276,0
Mrkttobvcrty-vx2wl,Mrkttobvcrty-vx2wl,0,1,1,1,1,1,0,131,276,0
oranggabuuuut,oranggabuuuut,0,1,1,1,1,1,0,131,276,0
ahmadfaizin8133,ahmadfaizin8133,0,2,2,3,0.529412,0.592593,0,131,276,0
KhoirulAmri-w3h,KhoirulAmri-w3h,0,1,1,1,1,1,0,131,276,0
pembelajar987,pembelajar987,0,1,1,1,1,1,0,131,276,0
moonlight7155-e7j,moonlight7155-e7j,0,4,4,3,0.571429,0.652778,0,131,276,0
ichaell51,ichaell51,0,3,3,3,0.555556,0.633333,0,131,276,0
sultankimjongun6230termul,sultankimjongun6230termul,2,0,2,0,0,0,0,131,276,0.005674
NugrohoDuta,NugrohoDuta,0,4,4,1,1,1,0,293,276,0
FajarsantikaRailfanstolol,FajarsantikaRailfanstolol,1,0,1,0,0,0,0,293,276,0.002837
user-k-n5i,user-k-n5i,0,2,2,1,1,1,0,131,276,0
sultankimjongun6230heleh,sultankimjongun6230heleh,1,0,1,0,0,0,0,131,276,0.002837
umar_thalib,umar_thalib,0,2,2,1,1,1,0,185,276,0
yuninoviyanti7382,yuninoviyanti7382,0,2,2,1,1,1,0,131,276,0
sultankimjongun6230pretttt,sultankimjongun6230pretttt,1,0,1,0,0,0,0,131,276,0.002837
AfterParty-l4i,AfterParty-l4i,0,1,1,1,1,1,0,131,276,0
rickyandryanto8329,rickyandryanto8329,0,2,2,1,1,1,0,131,276,0
ferryirwandimsuk,ferryirwandimsuk,1,0,1,0,0,0,0,131,276,0.002837
DaunPisang57491,DaunPisang57491,0,1,1,1,1,1,0,131,276,0
febrieka4845,febrieka4845,0,1,1,1,1,1,0,131,276,0
netidarneti8940,netidarneti8940,0,2,2,3,0.529412,0.592593,0,131,276,0
christopermusadi,christopermusadi,0,1,1,1,1,1,0,131,276,0
farrahmanazis577,farrahmanazis577,0,2,2,1,1,1,0,131,276,0
sultankimjongun6230lho2,sultankimjongun6230lho2,1,0,1,0,0,0,0,131,276,0.002837
Adadech5603,Adadech5603,0,4,4,4,0.376623,0.41954,0,226,276,0
Grog-frogNGOMONG,Grog-frogNGOMONG,1,0,1,0,0,0,0,131,276,0.002837
raniahisanah2875,raniahisanah2875,0,2,2,1,1,1,0,131,276,0
sultankimjongun6230ya,sultankimjongun6230ya,1,0,1,0,0,0,0,131,276,0.002837
rpsetyo,rpsetyo,0,1,1,1,1,1,0,131,276,0
wanchester8,wanchester8,0,1,1,1,1,1,0,131,276,0
adroimaulana,adroimaulana,0,1,1,1,1,1,0,131,276,0
gabrielprananda3274,gabrielprananda3274,0,2,2,1,1,1,0,131,276,0
SateliteSevenya,SateliteSevenya,1,0,1,0,0,0,0,131,276,0.002837
ranggonowilis363,ranggonowilis363,0,1,1,1,1,1,0,131,276,0
rinaldim8922,rinaldim8922,0,3,3,1,1,1,0,64,276,0
warismoney_ind,warismoney_ind,0,1,1,1,1,1,0,131,276,0
akbaryrmdhn,akbaryrmdhn,0,2,2,1,1,1,0,185,276,0
sultankimjongun6230lu,sultankimjongun6230lu,2,0,2,0,0,0,0,185,276,0.005674
jurnalabikara,jurnalabikara,0,2,2,1,1,1,0,131,276,0
ScoutMaster-p4nudah,ScoutMaster-p4nudah,1,0,1,0,0,0,0,131,276,0.002837
bintangprasetheotamba7535,bintangprasetheotamba7535,0,2,2,1,1,1,0,131,276,0
rajaduniaakhirat,rajaduniaakhirat,0,2,2,1,1,1,0,299,276,0
risqisyaifulloh3437,risqisyaifulloh3437,0,2,2,1,1,1,0,131,276,0
ferryirwandihttps,ferryirwandihttps,1,0,1,0,0,0,0,131,276,0.002837
pengembangandirinmotivasi6279,pengembangandirinmotivasi6279,0,2,2,1,1,1,0,131,276,0
fidiaalfiani8464,fidiaalfiani8464,0,4,4,1,1,1,0,293,276,0
sultankimjongun6230ati2,sultankimjongun6230ati2,1,0,1,0,0,0,0,293,276,0.002837
naqirasquad,naqirasquad,0,2,2,3,0.529412,0.592593,0,131,276,0
fisz.,fisz.,0,1,1,1,1,1,0,131,276,0
wsurayarisurya8781,wsurayarisurya8781,0,2,2,1,1,1,0,131,276,0
sultankimjongun6230nih,sultankimjongun6230nih,1,0,1,0,0,0,0,131,276,0.002837
rifkiilham3474,rifkiilham3474,0,1,1,1,1,1,0,131,276,0
zhonydep2742,zhonydep2742,0,2,2,1,1,1,0,131,276,0
sultankimjongun6230wah,sultankimjongun6230wah,1,0,1,0,0,0,0,131,276,0.002837
rianyzen1153,rianyzen1153,0,2,2,3,0.529412,0.592593,0,131,276,0
sanata2015,sanata2015,0,2,2,1,1,1,0,131,276,0
CandraGumilang-o3nbang,CandraGumilang-o3nbang,1,0,1,0,0,0,0,131,276,0.002837
irenelidyafransiscamanewus5822,irenelidyafransiscamanewus5822,0,1,1,1,1,1,0,131,276,0
Bayupmp21,Bayupmp21,0,1,1,1,1,1,0,131,276,0
arieauliafikri7970,arieauliafikri7970,0,2,2,3,0.529412,0.592593,0,131,276,0
crossix1568,crossix1568,0,3,3,1,1,1,0,131,276,0
sultankimjongun6230wkwkwkwkwwwkwk....,sultankimjongun6230wkwkwkwkwwwkwk....,1,0,1,0,0,0,0,131,276,0.002837
HokiAgatatujuannya,HokiAgatatujuannya,1,0,1,0,0,0,0,131,276,0.002837
syarwani1449,syarwani1449,0,1,1,1,1,1,0,131,276,0
Dd_Channel77,Dd_Channel77,0,1,1,1,1,1,0,131,276,0
tyoprastyo5298,tyoprastyo5298,0,2,2,1,1,1,0,131,276,0
sultankimjongun6230akun,sultankimjongun6230akun,1,0,1,0,0,0,0,131,276,0.002837
