Source,Target,Type,Id,Label,Weight
ucokbaba-z9n,adityakbar,Directed,284,,1
gilangramadhan9614,musthofaking4431,Directed,285,,1
LLLLlll__0000,musthofaking4431,Directed,286,,1
umarsyaefulloh1767,musthofaking4431,Directed,287,,1
maiaAnticka,imamgozali7071,Directed,288,,1
aaznurfauziah2410,aaznurfauziah2410,Directed,289,,1
amrienazar1186,dedeyusuf88,Directed,290,,1
69aqjgmw5,RaketBagus,Directed,291,,1
Rumah_Satria,ManualLens-e7y,Directed,292,,1
ManualLens-e7y,ManualLens-e7y,Directed,293,,1
ManualLens-e7y,Rumah_Satria,Directed,294,,1
LLLLlll__0000,ManualLens-e7y,Directed,295,,1
yuanfelix8464,ahmadjayadi3017,Directed,296,,1
amrienazar1186,allfeeanify,Directed,297,,1
stardust8796,stardust8796,Directed,298,,1
Nadyakh20,stardust8796,Directed,299,,1
Phrololo,PABLOescobar12361,Directed,300,,1
augur331,ViviSapi,Directed,301,,1
AndraFebrian-h5f,mahjatinuramalina2759,Directed,302,,1
fajaristifari8847,supermassiveblackhole666,Directed,303,,1
vvram8464,ferryirwandi,Directed,304,,1
VJ.155,akarkreasi-Music,Directed,305,,1
mamameowbali,akarkreasi-Music,Directed,306,,1
undead6868,NANASETIAWAN-b9u,Directed,307,,1
lyoutube7750,ferryirwandi,Directed,308,,1
palmtree_,D3ndi_Sunda,Directed,309,,1
sarungwamidor6097,sahabatSejati-c7s7g,Directed,310,,1
MaMana-hw9ow,REDSFAMS,Directed,311,,1
palmtree_,susanto8216,Directed,312,,1
animeglator4712,animeglator4712,Directed,313,,1
mailali3437,widiandfolks,Directed,314,,1
halushopingid,riscoprasetyo,Directed,315,,1
ZENNBOCAHAI,Abrams4309,Directed,316,,1
axyr99,AdrianoviFarouk,Directed,317,,1
syh-o2r,chicofunkid,Directed,318,,1
1nwb-4dnws,1nwb-4dnws,Directed,319,,1
Thomas_Anderson77,tresnogibran2561,Directed,320,,1
andree4081,Amat_P,Directed,321,,1
ruuferu,renoroo25,Directed,322,,1
CoconutTVOfficial,ferry,Directed,323,,1
Thomas_Anderson77,Nesa_005-o1s,Directed,324,,1
buyaumma,yzkykr,Directed,325,,1
amrienazar1186,lukasmaxi6144,Directed,326,,1
ruuferu,JayaNata-y6b,Directed,327,,1
ruuferu,herihendriansyah2237,Directed,328,,1
Oreolagii,herihendriansyah2237,Directed,329,,1
aeth_rion,herihendriansyah2237,Directed,330,,1
idedeas,Gratitudekuy,Directed,331,,1
eyeblessing2166,Imamar-j7c,Directed,332,,1
eoreh,Imamar-j7c,Directed,333,,1
ruuferu,Imamar-j7c,Directed,334,,1
reydhareydha7539,azamattauqi8822,Directed,335,,1
reydhareydha7539,Ndrewstjan,Directed,336,,1
reydhareydha7539,mas_veel,Directed,337,,1
reydhareydha7539,Heraloebss,Directed,338,,1
reydhareydha7539,tekarok007,Directed,339,,1
ruuferu,cucugoogle20,Directed,340,,1
cucugoogle20,cucugoogle20,Directed,341,,1
cucugoogle20,ruuferu,Directed,342,,1
ruuferu,cucugoogle20bukankah,Directed,343,,1
ruuferu,cucugoogle20Dalang,Directed,344,,1
ruuferu,cucugoogle20Kalau,Directed,345,,1
ruuferu,cucugoogle20Mengarang,Directed,346,,1
ruuferu,cucugoogle20Berkali,Directed,347,,1
ruuferu,cucugoogle20Paham,Directed,348,,1
ruuferu,cucugoogle20Sudah,Directed,349,,1
sopojarwo3483,anonymus1412,Directed,350,,1
ythbagindarajadewalordloeh7961,MrNuganteng,Directed,351,,1
muhammadraafiputraarya,asiefhidayat8435,Directed,352,,1
yubprprem-g9q,AmangGerang,Directed,353,,1
zahrulnimotv9269,suhartosuharto40,Directed,354,,1
nahnah20,oppajj-yb9ug,Directed,355,,1
yubprprem-g9q,Kurnia_ID,Directed,356,,1
nahnah20,MelancholyRider,Directed,357,,1
masbagus276,PunyaAntho,Directed,358,,1
nahnah20,PunyaAntho,Directed,359,,1
PunyaAntho,PunyaAntho,Directed,360,,1
PunyaAntho,masbagus276apalagi,Directed,361,,1
nahnah20,Ahloy01,Directed,362,,1
nahnah20,MasKapeh-p8r,Directed,363,,1
skuadrenghek,ahyfamz8420,Directed,364,,1
nahnah20,GrowUpper-z8i,Directed,365,,1
forsaken3132,ka_bimo,Directed,366,,1
LLLLlll__0000,yusranaidil5267,Directed,367,,1
yusranaidil5267,yusranaidil5267,Directed,368,,1
yusranaidil5267,LLLLlll__0000,Directed,369,,1
yusranaidil5267,LLLLlll__0000Berarti,Directed,370,,1
LLLLlll__0000,yusranaidil5267dia,Directed,371,,1
CigutE,salmanalfis,Directed,372,,1
puluthitam6615,salmanalfis,Directed,373,,1
tiasa6062,salmanalfis,Directed,374,,1
Terataiyangberlumpur,Axabiruuu,Directed,375,,1
raMeMiKids,johanaffandi516,Directed,376,,1
rifqiardhie8496,johanaffandi516,Directed,377,,1
aruna697,ulfamariya03,Directed,378,,1
raMeMiKids,ulfamariya03,Directed,379,,1
RDagung1140,sahrielnewbie9054,Directed,380,,1
sahrielnewbie9054,sahrielnewbie9054,Directed,381,,1
sahrielnewbie9054,RDagung1140,Directed,382,,1
rasetyaka,ferry,Directed,383,,1
rifqiardhie8496,anastriutama7934,Directed,384,,1
Trondol-op7in,otomotiftag,Directed,385,,1
otomotiftag,otomotiftag,Directed,386,,1
otomotiftag,Trondol-op7inhahah,Directed,387,,1
Trondol-op7in,dinarnugraha715,Directed,388,,1
RDagung1140,dinarnugraha715,Directed,389,,1
ilhamrj2599,dinarnugraha715,Directed,390,,1
SitiRumsiah-y7r,SitiRumsiah-y7r,Directed,391,,1
eskrimwatch09,OsaPratama,Directed,392,,1
afifnurwahyu6673,OsaPratama,Directed,393,,1
afifnurwahyu6673,eskrimwatch09,Directed,394,,1
UtsuroShoyo,OsaPratama,Directed,395,,1
UtsuroShoyo,eskrimwatch09,Directed,396,,1
yahahahayyuk9793,OsaPratama,Directed,397,,1
yahahahayyuk9793,eskrimwatch09kocak,Directed,398,,1
divagaming3970,OsaPratama,Directed,399,,1
divagaming3970,eskrimwatch09maling,Directed,400,,1
OsaPratama,OsaPratama,Directed,401,,1
OsaPratama,eskrimwatch09,Directed,402,,1
hellchemical,DewixArini,Directed,403,,1
LukeNolan378,DewixArini,Directed,404,,1
netizenbola482,DewixArini,Directed,405,,1
netizenbola482,LukeNolan378Astaghfirullah,Directed,406,,1
m.saidagil9808,DewixArini,Directed,407,,1
m.saidagil9808,netizenbola482banyak,Directed,408,,1
MuhammadRifki-t4x,DewixArini,Directed,409,,1
MuhammadRifki-t4x,m.saidagil9808iya,Directed,410,,1
Little_Sina,DewixArini,Directed,411,,1
Little_Sina,LukeNolan378biang,Directed,412,,1
LoboraiVisualDesain,DewixArini,Directed,413,,1
LoboraiVisualDesain,LukeNolan378bicara,Directed,414,,1
updateinstink,DewixArini,Directed,415,,1
hanakimi007,DewixArini,Directed,416,,1
MalistaChristy,DewixArini,Directed,417,,1
MalistaChristy,LukeNolan378Lucu,Directed,418,,1
TutikDjanah,DewixArini,Directed,419,,1
TutikDjanah,m.saidagil9808,Directed,420,,1
Sulastrianingrum,iceblue1006,Directed,421,,1
iceblue1006,iceblue1006,Directed,422,,1
iceblue1006,Sulastrianingrumlu,Directed,423,,1
FuruKazehay4,kakangsultanarkan,Directed,424,,1
halushopingid,hendyhidayat7774,Directed,425,,1
gorgben-c4z,MochammadHufron-i1m,Directed,426,,1
Ruumiiiii,satyautama238,Directed,427,,1
satyautama238,satyautama238,Directed,428,,1
satyautama238,Ruumiiiii,Directed,429,,1
satyautama238,varissszz,Directed,430,,1
Ruumiiiii,satyautama238mau,Directed,431,,1
Ruumiiiii,satyautama238meskipun,Directed,432,,1
RinoFebrian6,FaedahGaming,Directed,433,,1
Kakak_singkong,FaedahGaming,Directed,434,,1
FaedahGaming,FaedahGaming,Directed,435,,1
FaedahGaming,RinoFebrian6tonton,Directed,436,,1
RDagung1140,FaedahGaming,Directed,437,,1
FaedahGaming,RDagung1140yak,Directed,438,,1
RDagung1140,FaedahGaminggabisa,Directed,439,,1
RDagung1140,FaedahGamingmakanya,Directed,440,,1
gorgben-c4z,kucingganteng3148,Directed,441,,1
kucingganteng3148,kucingganteng3148,Directed,442,,1
kucingganteng3148,gorgben-c4z,Directed,443,,1
gorgben-c4z,kucingganteng3148iya,Directed,444,,1
Ranzno4172,kareemGi09,Directed,445,,1
sibibut,AleenaNuaira,Directed,446,,1
Ranzno4172,sayatretandanmuslim4433,Directed,447,,1
DwiNay-l9k,FerryIrwandi,Directed,448,,1
cccmproject274,sulaimanzen28,Directed,449,,1
SuyitnoMistik,sulaimanzen28,Directed,450,,1
